"Date","Payee","Account number","Transaction type","Payment reference","Category","Amount (EUR)","Amount (Foreign Currency)","Type Foreign Currency","Exchange Rate"
"2050-07-06","NIKOLISONS LTD","","MasterCard Payment","","Travel & Holidays","-7.19","-28.98","ILS","0.24"
"2050-07-08","NAHAT RESTAURANT LTD","","MasterCard Payment","","Bars & Restaurants","-6.21","-25.0","ILS","0.24"
"2050-07-08","MASHKAOOT HENOY","","MasterCard Payment","","Food & Groceries","-14.65","-59.0","ILS","0.24"
"2050-07-11","BLOCK HOUSE 1133","","MasterCard Payment","","Bars & Restaurants","-30.0","-30.0","EUR","1.0"
"2050-07-11","MADE IN CHINA","","MasterCard Payment","","Bars & Restaurants","-52.0","-52.0","EUR","1.0"
"2050-07-12","PHO2000","","MasterCard Payment","","Bars & Restaurants","-14.0","-14.0","EUR","1.0"
"2050-07-16","COFFEE HOUSE","","MasterCard Payment","","Bars & Restaurants","-3.5","-3.5","EUR","1.0"
"2050-07-20","DUOMO CORDUSIO M1","","MasterCard Payment","","Transport & Car","-6.0","-6.0","EUR","1.0"
"2050-07-21","NILUS BAR","","MasterCard Payment","","Bars & Restaurants","-57.0","-57.0","EUR","1.0"
"2050-07-21","ANGOLO DIVINO SNC DI C","","MasterCard Payment","","Bars & Restaurants","-28.0","-28.0","EUR","1.0"
"2050-07-21","Enoteca Principessa","","MasterCard Payment","","Food & Groceries","-26.0","-26.0","EUR","1.0"
"2050-07-22","PLACIBUS","","MasterCard Payment","","Bars & Restaurants","-3.1","-3.1","EUR","1.0"
"2050-07-25","SUBWAY","","MasterCard Payment","","Bars & Restaurants","-7.88","-7.88","EUR","1.0"
"2050-07-25","REWE Markt GmbH-ZwNL O","","MasterCard Payment","","Food & Groceries","-4.84","-4.84","EUR","1.0"
"2050-08-15","893","","MasterCard Payment","","Bars & Restaurants","-300.0","-300.0","EUR","1.0"
"2050-08-16","Hefner Bar","","MasterCard Payment","","Bars & Restaurants","-59.0","-59.0","EUR","1.0"
"2050-08-30","GATE GROUP INFLIGHT","","MasterCard Payment","","Shopping","-13.0","-13.0","EUR","1.0"
"2050-08-30","DESPAR","","MasterCard Payment","","Food & Groceries","-18.11","-18.11","EUR","1.0"
"2050-08-30","GELATERIA BORGO ANTICO","","MasterCard Payment","","Bars & Restaurants","-20.5","-20.5","EUR","1.0"
"2050-08-31","MONNA LISA CAFFE'","","MasterCard Payment","","Bars & Restaurants","-38.0","-38.0","EUR","1.0"
"2050-08-31","AL SOLITO POSTO","","MasterCard Payment","","Business expenses","-49.5","-49.5","EUR","1.0"
